日期,代码,名称,当前价,涨幅(%),EMA200,建议止损价,绿线,红线,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-19,000590,启迪药业,11.07,0.54,10.81,10.45,-61.9,-66.87,0.8,-134.15,26.51,26.5,55.7
2025-12-19,000831,中国稀土,45.15,2.99,41.7,41.61,-60.24,-62.45,2.9,186.99,479.14,479.14,60.96
2025-12-19,002067,景兴纸业,5.15,2.18,4.65,4.72,-65.58,-67.47,3.27,139.41,75.95,68.89,30.05
2025-12-19,002148,北纬科技,8.48,1.19,8.29,8.06,-64.32,-66.79,1.93,-12910.06,47.4,38.1,28.68
2025-12-19,002168,*ST惠程,3.51,0.57,3.46,3.31,-68.94,-69.26,0.31,-47.77,27.52,27.52,26.71
2025-12-19,002190,成飞集成,35.99,0.87,33.72,33.8,-66.73,-68.05,1.63,-280.55,129.11,129.11,86.09
2025-12-19,600545,卓郎智能,2.61,1.95,2.57,2.42,-60.8,-64.28,1.06,-14.65,46.66,46.66,8.75
2025-12-19,601929,吉视传媒,3.37,2.74,2.86,3.01,-60.13,-60.24,4.3,-25.46,117.61,117.61,80.21
2025-12-19,603213,镇洋发展,13.18,1.15,11.67,12.69,-70.52,-70.94,0.36,86.21,58.25,58.25,55.98
2025-12-19,605001,威奥股份,7.26,2.54,7.23,6.75,-60.3,-64.1,1.09,34.07,28.52,28.52,14.87
