日期,代码,名称,当前价,涨幅(%),EMA200,建议止损价,绿线,红线,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-19,000010,美丽生态,3.67,6.07,3.55,3.23,-50.74,-55.26,4.56,-99.19,42.19,31.12,30.6
2025-12-19,000006,深振业Ａ,9.78,2.41,8.05,8.79,-55.62,-56.43,1.71,-1415.19,132.03,132.03,33.61
2025-12-19,000008,神州高铁,2.91,1.75,2.86,2.74,-47.08,-47.66,1.47,-67.97,79.05,79.04,0.34
2025-12-19,000011,深物业A,9.17,2.69,8.99,8.48,-58.59,-62.5,1.17,127.21,54.65,48.28,4.92
2025-12-19,000017,深中华A,8.42,1.2,6.72,7.64,20.44,10.85,16.57,140.68,58.03,37.12,45.17
2025-12-19,000027,深圳能源,6.58,0.15,6.52,6.4,-40.8,-42.42,0.25,11.95,313.04,313.04,3.95
2025-12-19,000029,深深房Ａ,23.32,4.76,21.54,20.72,-51.66,-53.23,0.71,121.93,235.92,207.94,54.85
2025-12-19,000055,方大集团,4.24,1.68,4.19,4.0,-34.8,-36.81,1.11,214.91,45.53,28.66,9.0
2025-12-19,000065,北方国际,12.51,0.64,11.16,11.7,18.49,18.09,1.74,20.74,134.03,121.97,29.91
2025-12-19,000090,天健集团,3.75,1.9,3.69,3.49,-44.75,-45.32,1.34,261.08,70.07,70.07,-6.48
2025-12-19,000153,丰原药业,6.55,2.34,6.44,6.13,-41.1,-45.2,1.92,22.77,30.44,30.17,8.62
2025-12-19,000400,许继电气,26.35,3.09,23.65,24.57,-4.4,-5.48,2.78,22.33,268.41,266.58,-2.62
2025-12-19,000408,藏格矿业,79.8,6.56,47.07,69.88,72.05,70.9,1.27,34.16,1253.04,1253.03,198.54
2025-12-19,000417,合百集团,8.33,10.04,6.14,6.65,25.09,22.41,12.49,28.29,64.96,64.89,32.85
2025-12-19,000421,南京公用,6.94,2.97,6.54,6.49,-45.24,-45.7,2.43,25.8,39.86,39.86,8.1
2025-12-19,000422,湖北宜化,14.17,1.21,13.26,13.13,-33.5,-37.13,2.12,14.25,154.2,149.89,14.09
2025-12-19,000426,兴业银锡,35.33,1.58,20.97,31.04,22.82,20.2,2.84,34.49,627.33,627.18,219.73
2025-12-19,000430,*ST张股,7.93,2.59,7.72,7.45,-32.25,-34.5,1.97,-107.5,32.1,26.31,27.9
2025-12-19,000510,新金路,10.58,9.98,5.57,8.75,55.73,54.42,10.62,-65.56,68.62,64.19,193.89
2025-12-19,000518,*ST四环,2.42,0.83,2.36,2.3,-50.96,-51.98,0.64,-147.17,24.92,24.91,-4.35
2025-12-19,000523,红棉股份,3.73,10.03,3.33,3.13,8.94,0.96,6.63,78.64,68.46,49.43,22.3
2025-12-19,000529,广弘控股,6.16,3.01,6.1,5.69,-29.23,-29.53,1.93,40.17,35.96,35.1,6.57
2025-12-19,000531,穗恒运Ａ,6.49,1.41,6.41,6.17,-43.27,-44.17,0.78,11.54,67.59,59.04,14.26
2025-12-19,000551,创元科技,11.39,1.15,10.84,10.82,26.27,25.82,1.25,18.95,55.21,55.01,15.28
2025-12-19,000558,天府文旅,5.45,1.68,4.99,4.93,-20.11,-21.56,5.11,-285.65,70.26,70.23,59.82
2025-12-19,000586,汇源通信,13.87,4.21,11.62,12.38,-5.36,-16.38,7.64,136.3,26.83,26.83,46.0
2025-12-19,000582,北部湾港,9.12,1.79,8.57,8.66,10.96,0.24,0.95,20.55,216.11,183.26,17.68
2025-12-19,000590,启迪药业,11.07,0.54,10.81,10.45,-61.9,-66.87,0.8,-134.15,26.51,26.5,55.7
2025-12-19,000589,贵州轮胎,5.09,0.59,4.61,4.9,9.42,6.45,1.56,13.19,79.13,78.24,4.73
2025-12-19,000600,建投能源,8.26,0.85,7.29,7.86,-4.55,-7.36,1.51,7.06,148.95,90.04,49.37
2025-12-19,000612,焦作万方,10.1,3.59,8.38,9.12,-0.99,-5.55,4.13,9.97,120.41,120.33,60.57
2025-12-19,000617,中油资本,9.09,1.79,8.59,8.56,-36.98,-38.88,0.64,21.56,1149.16,1149.16,34.27
2025-12-19,000626,远大控股,7.95,1.4,6.86,7.38,-36.79,-40.24,1.45,93.87,40.28,40.05,38.26
2025-12-19,000629,钒钛股份,3.05,3.04,2.82,2.83,-33.29,-38.31,1.37,-142.97,283.37,283.36,5.9
2025-12-19,000637,茂化实华,4.41,2.08,4.13,4.05,-49.6,-52.01,2.77,-18.35,22.93,16.08,18.55
