日期,代码,名称,信号等级,趋势过滤,当前价,涨幅%,StochK,StochD,EMA20,EMA50,EMA200,ADX,DI+,DI-,DI相对强,ADX信号,ATR,止损价,止盈价
2025-12-15,000007,全新好,L1/L2 (强势/浅回调),Level 1: C>E50>E200,11.61,10.05,44.12,28.28,10.09,9.25,7.98,36.14,37.73,14.25,0.65,Buy,0.615,9.39,14.07
2025-12-15,000061,农 产 品,L1/L1 (强势/深回调),Level 1: C>E50>E200,10.15,9.97,33.33,21.64,9.5,9.16,7.94,26.77,31.99,13.91,0.68,Buy,0.444,8.33,11.92
2025-12-15,600301,华锡有色,L1/L1 (强势/深回调),Level 1: C>E50>E200,40.02,4.79,34.83,18.55,36.98,34.31,27.32,30.98,30.83,15.2,0.5,Buy,2.442,32.47,49.79
2025-12-15,002718,友邦吊顶,L1/L1 (强势/深回调),Level 1: C>E50>E200,30.61,4.79,43.8,23.15,29.17,27.38,21.0,32.11,26.35,13.83,0.39,Buy,1.785,24.94,37.75
2025-12-15,002051,中工国际,L1/L1 (强势/深回调),Level 1: C>E50>E200,9.18,4.2,29.47,24.6,8.9,8.75,8.52,25.66,32.57,17.17,0.6,Buy,0.247,8.37,10.17
2025-12-15,002889,东方嘉盛,L1/L1 (强势/深回调),Level 1: C>E50>E200,16.47,4.04,29.11,24.47,15.93,15.71,15.44,38.31,29.59,11.95,0.46,Buy,0.645,14.44,19.05
2025-12-15,000829,天音控股,L2/L(1/2) (启动/回调),Level 2: C>E20>E50,11.07,2.69,23.33,19.6,10.69,10.43,10.57,35.83,29.26,14.45,0.41,Buy,0.411,9.85,12.71
2025-12-15,002584,西陇科学,L2/L(1/2) (启动/回调),Level 2: C>E20>E50,9.6,2.67,60.14,33.84,9.02,8.91,8.93,29.59,28.49,16.17,0.42,Buy,0.473,8.16,11.49
2025-12-15,000859,国风新材,L1/L2 (强势/浅回调),Level 1: C>E50>E200,10.3,2.49,41.56,30.31,8.79,7.87,6.97,39.14,36.91,13.18,0.61,Buy,0.908,7.79,13.93
2025-12-15,603125,常青科技,L1/L2 (强势/浅回调),Level 1: C>E50>E200,18.21,2.02,37.27,28.3,17.57,17.26,16.23,35.98,28.15,10.08,0.5,Buy,0.534,16.73,20.35
2025-12-15,002582,好想你,L1/L2 (强势/浅回调),Level 1: C>E50>E200,10.39,1.96,31.64,29.8,10.21,10.1,9.65,26.2,31.67,14.96,0.64,Buy,0.518,8.96,12.46
2025-12-15,603556,海兴电力,L1/L2 (强势/浅回调),Level 1: C>E50>E200,34.9,1.34,44.33,29.75,34.25,33.03,30.8,34.59,26.1,14.11,0.35,Buy,1.092,32.06,39.27
2025-12-15,603499,翔港科技,L1/L1 (强势/深回调),Level 1: C>E50>E200,19.84,0.61,23.78,14.51,19.61,18.92,18.54,28.81,27.17,16.76,0.36,Buy,0.705,17.99,22.66
2025-12-15,001296,长江材料,L1/L1 (强势/深回调),Level 1: C>E50>E200,28.13,-0.88,36.93,24.05,26.42,25.17,21.85,32.79,34.08,14.42,0.6,Buy,1.475,24.44,34.03
2025-12-15,601133,柏诚股份,L1/L2 (强势/浅回调),Level 1: C>E50>E200,14.77,-1.53,48.92,29.81,13.88,13.45,12.61,29.54,33.94,12.51,0.73,Buy,0.713,13.31,17.62
2025-12-15,000505,京粮控股,L1/L2 (强势/浅回调),Level 1: C>E50>E200,8.08,-1.82,30.63,27.02,7.87,7.45,6.89,40.11,34.27,16.84,0.43,Buy,0.543,6.81,10.25
