日期,代码,名称,信号等级,趋势过滤,当前价,涨幅%,StochK,StochD,EMA20,EMA50,EMA200,ADX,DI+,DI-,DI相对强,ADX信号,ATR,止损价,止盈价
2025-12-15,000007,全新好,L1/L2 (强势/浅回调),Level 1: C>E50>E200,11.61,10.05,44.12,28.28,10.09,9.25,7.98,36.14,37.73,14.25,0.65,Buy,0.615,9.39,14.07
2025-12-15,605339,南侨食品,L1/L1 (强势/深回调),Level 1: C>E50>E200,21.19,10.02,23.08,22.02,19.94,18.98,17.87,40.43,32.79,18.07,0.36,Buy,1.419,16.18,26.87
2025-12-15,000061,农 产 品,L1/L1 (强势/深回调),Level 1: C>E50>E200,10.15,9.97,33.33,21.64,9.5,9.16,7.94,26.77,31.99,13.91,0.68,Buy,0.444,8.33,11.92
2025-12-15,000859,国风新材,L1/L2 (强势/浅回调),Level 1: C>E50>E200,10.53,4.78,43.04,30.8,8.81,7.88,6.98,39.27,38.09,12.93,0.64,Buy,0.937,7.74,14.28
2025-12-15,600301,华锡有色,L1/L1 (强势/深回调),Level 1: C>E50>E200,39.93,4.56,34.3,18.37,36.97,34.31,27.32,30.98,30.83,15.2,0.5,Buy,2.442,32.47,49.7
2025-12-15,002718,友邦吊顶,L1/L1 (强势/深回调),Level 1: C>E50>E200,30.49,4.38,42.77,22.81,29.16,27.38,21.0,32.11,26.35,13.83,0.39,Buy,1.785,24.94,37.63
2025-12-15,002889,东方嘉盛,L1/L1 (强势/深回调),Level 1: C>E50>E200,16.43,3.79,28.16,24.15,15.93,15.7,15.44,38.31,29.59,11.95,0.46,Buy,0.645,14.44,19.01
2025-12-15,002051,中工国际,L1/L1 (强势/深回调),Level 1: C>E50>E200,9.14,3.75,27.57,23.96,8.89,8.75,8.52,25.66,32.57,17.17,0.6,Buy,0.247,8.37,10.13
2025-12-15,603828,ST柯利达,L1/L1 (强势/深回调),Level 1: C>E50>E200,7.49,2.88,22.77,12.32,7.25,6.7,5.35,37.49,28.19,14.48,0.37,Buy,0.327,6.64,8.8
2025-12-15,603125,常青科技,L1/L2 (强势/浅回调),Level 1: C>E50>E200,18.2,1.96,36.95,28.19,17.57,17.26,16.23,35.98,28.15,10.08,0.5,Buy,0.534,16.73,20.34
2025-12-15,000829,天音控股,L2/L(1/2) (启动/回调),Level 2: C>E20>E50,10.98,1.86,21.45,18.97,10.69,10.42,10.56,35.93,29.94,14.31,0.43,Buy,0.418,9.83,12.65
2025-12-15,603556,海兴电力,L1/L2 (强势/浅回调),Level 1: C>E50>E200,35.05,1.77,46.33,30.41,34.26,33.03,30.8,34.62,26.24,14.08,0.35,Buy,1.097,32.05,39.44
2025-12-15,002584,西陇科学,L2/L(1/2) (启动/回调),Level 2: C>E20>E50,9.49,1.5,57.86,33.08,9.01,8.91,8.93,29.59,28.49,16.17,0.42,Buy,0.473,8.16,11.38
2025-12-15,603499,翔港科技,L1/L1 (强势/深回调),Level 1: C>E50>E200,19.63,-0.46,21.03,13.6,19.59,18.91,18.54,28.81,27.17,16.76,0.36,Buy,0.705,17.99,22.45
2025-12-15,001296,长江材料,L1/L1 (强势/深回调),Level 1: C>E50>E200,28.03,-1.23,35.72,23.64,26.41,25.16,21.85,32.79,34.08,14.42,0.6,Buy,1.475,24.44,33.93
2025-12-15,601133,柏诚股份,L1/L2 (强势/浅回调),Level 1: C>E50>E200,14.63,-2.47,45.57,28.69,13.87,13.44,12.61,29.54,33.31,12.28,0.71,Buy,0.736,13.11,17.57
