代码,名称,信号,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文
600802,福建水泥,买入,8.47,0.12,5.24,5.7,48.6,0.15,强多
000893,亚钾国际,买入,47.8,0.44,32.42,33.38,43.2,2.62,强多
000701,厦门信达,买入,8.65,10.05,5.86,6.29,37.52,0.67,强多
002853,皮阿诺,买入,16.24,10.03,13.4,12.74,27.47,0.78,强多
603196,日播时尚,买入,28.12,9.33,18.54,24.51,14.73,1.26,强多
000571,新大洲A,买入,7.01,10.05,4.74,6.2,13.06,0.53,强多
600105,永鼎股份,买入,18.14,5.96,9.58,16.68,8.75,1.38,强多
601377,兴业证券,买入,7.7,6.94,6.26,7.14,7.84,0.08,强多
000901,航天科技,买入,23.35,9.99,14.3,21.82,7.01,0.35,强多
603698,航天工程,买入,23.67,9.99,17.9,22.56,4.92,1.18,强多
001311,多利科技,买入,28.86,4.08,22.55,27.58,4.64,0.91,强多
002164,宁波东力,买入,15.05,10.01,10.43,14.39,4.59,0.85,强多
603023,威帝股份,买入,4.95,10.0,3.79,4.81,2.91,0.08,强多
