日期,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-25,000014,13.71,0.15,40,谨慎做多,【≥2.0】4.79 → 恐慌充分释放,【<-0.5】-4.93 → 资金流出,【>25】26 → 结构偏老,【>5%】14.13% → 深度破位（风险）,"{'日期': '2025-11-18', '价格': 15.85, '动能值': -5.2017, 'obv': 570687040}","{'日期': '2025-12-24', '价格': 13.61, '动能值': -1.0863, 'obv': 505424550}"
2025-12-25,000056,2.06,0.0,60,谨慎做多,【≥2.0】2.07 → 恐慌充分释放,【0.5–2.0】1.05 → 资金承接,【>25】47 → 结构偏老,【>5%】11.74% → 深度破位（风险）,"{'日期': '2025-10-20', '价格': 2.3, '动能值': -0.4536, 'obv': 1191023074}","{'日期': '2025-12-24', '价格': 2.03, '动能值': -0.219, 'obv': 1235899740}"
2025-12-25,000063,38.11,-0.42,40,谨慎做多,【1.5–2.0】1.53 → 下跌明显衰竭,【<-0.5】-5.75 → 资金流出,【>25】30 → 结构偏老,【>5%】5.79% → 深度破位（风险）,"{'日期': '2025-11-12', '价格': 39.2, '动能值': -8.4138, 'obv': 4202723562}","{'日期': '2025-12-24', '价格': 36.93, '动能值': -5.51, 'obv': 3277193317}"
2025-12-25,000597,5.35,0.56,30,谨慎做多,【1.5–2.0】1.85 → 下跌明显衰竭,【<-0.5】-0.53 → 资金流出,【>25】83 → 结构偏老,【>5%】8.65% → 深度破位（风险）,"{'日期': '2025-08-21', '价格': 5.78, '动能值': -0.4897, 'obv': -179024478}","{'日期': '2025-12-24', '价格': 5.28, '动能值': -0.2645, 'obv': -187091960}"
2025-12-25,000913,15.29,1.19,50,谨慎做多,【≥2.0】2.27 → 恐慌充分释放,【<-0.5】-3.01 → 资金流出,【>25】34 → 结构偏老,【2–5%】4.93% → 正常破位,"{'日期': '2025-11-06', '价格': 15.83, '动能值': -1.1069, 'obv': 209175231}","{'日期': '2025-12-24', '价格': 15.05, '动能值': -0.4886, 'obv': 197579262}"
2025-12-25,001256,21.35,1.62,50,谨慎做多,【1.5–2.0】1.95 → 下跌明显衰竭,【<-0.5】-6.42 → 资金流出,【15–25】19 → 结构健康（理想）,【2–5%】3.86% → 正常破位,"{'日期': '2025-11-27', '价格': 21.24, '动能值': -1.4357, 'obv': 107852927}","{'日期': '2025-12-24', '价格': 20.42, '动能值': -0.7363, 'obv': 100434013}"
2025-12-25,001324,18.3,0.83,60,谨慎做多,【1.5–2.0】1.7 → 下跌明显衰竭,【≥2.0】2.27 → 强力吸筹,【>25】70 → 结构偏老,【>5%】10.2% → 深度破位（风险）,"{'日期': '2025-09-09', '价格': 19.9, '动能值': -1.7471, 'obv': 82014417}","{'日期': '2025-12-24', '价格': 17.87, '动能值': -1.0276, 'obv': 87143499}"
2025-12-25,001326,42.14,4.64,30,谨慎做多,【1.5–2.0】1.8 → 下跌明显衰竭,【<-0.5】-1.8 → 资金流出,【>25】31 → 结构偏老,【>5%】14.59% → 深度破位（风险）,"{'日期': '2025-11-11', '价格': 46.8, '动能值': -4.9707, 'obv': 85323131}","{'日期': '2025-12-24', '价格': 39.97, '动能值': -2.7596, 'obv': 83825852}"
2025-12-25,001696,21.75,3.67,80,强烈做多,【1.5–2.0】1.81 → 下跌明显衰竭,【≥2.0】2.23 → 强力吸筹,【15–25】21 → 结构健康（理想）,【2–5%】3.83% → 正常破位,"{'日期': '2025-11-25', '价格': 21.42, '动能值': -1.2769, 'obv': 6237411237}","{'日期': '2025-12-24', '价格': 20.6, '动能值': -0.7045, 'obv': 6276610650}"
2025-12-25,002075,5.73,0.88,60,谨慎做多,【≥2.0】2.76 → 恐慌充分释放,【-0.5–0.5】-0.08 → 资金观望,【>25】71 → 结构偏老,【2–5%】3.95% → 正常破位,"{'日期': '2025-09-08', '价格': 5.83, '动能值': -0.6352, 'obv': 1670176648}","{'日期': '2025-12-24', '价格': 5.6, '动能值': -0.2301, 'obv': 1667234929}"
2025-12-25,002122,2.91,0.69,50,谨慎做多,【≥2.0】2.2 → 恐慌充分释放,【-0.5–0.5】-0.19 → 资金观望,【>25】46 → 结构偏老,【>5%】19.66% → 深度破位（风险）,"{'日期': '2025-10-20', '价格': 3.56, '动能值': -0.5079, 'obv': 1801763954}","{'日期': '2025-12-24', '价格': 2.86, '动能值': -0.2305, 'obv': 1793214773}"
2025-12-25,002305,2.25,0.0,60,谨慎做多,【1.5–2.0】1.85 → 下跌明显衰竭,【<-0.5】-1.08 → 资金流出,【15–25】22 → 结构健康（理想）,【0–2%】0.0% → 诱空假破位,"{'日期': '2025-11-24', '价格': 2.22, '动能值': -0.2945, 'obv': 1877143117}","{'日期': '2025-12-24', '价格': 2.22, '动能值': -0.1596, 'obv': 1835428919}"
2025-12-25,002403,12.52,2.37,60,谨慎做多,【1.2–1.5】1.35 → 下跌开始衰竭,【0.5–2.0】1.42 → 资金承接,【15–25】22 → 结构健康（理想）,【2–5%】3.74% → 正常破位,"{'日期': '2025-11-24', '价格': 12.58, '动能值': -0.8238, 'obv': 1095725165}","{'日期': '2025-12-24', '价格': 12.11, '动能值': -0.6087, 'obv': 1101738407}"
2025-12-25,002415,29.63,1.02,70,谨慎做多,【≥2.0】4.17 → 恐慌充分释放,【-0.5–0.5】-0.48 → 资金观望,【15–25】23 → 结构健康（理想）,【2–5%】2.62% → 正常破位,"{'日期': '2025-11-21', '价格': 29.8, '动能值': -2.3013, 'obv': 1685182011}","{'日期': '2025-12-24', '价格': 29.02, '动能值': -0.5521, 'obv': 1669265756}"
2025-12-25,002521,8.61,1.77,30,谨慎做多,【1.5–2.0】1.85 → 下跌明显衰竭,【<-0.5】-5.46 → 资金流出,【>25】55 → 结构偏老,【>5%】6.18% → 深度破位（风险）,"{'日期': '2025-09-30', '价格': 8.9, '动能值': -0.7714, 'obv': 214878330}","{'日期': '2025-12-24', '价格': 8.35, '动能值': -0.4175, 'obv': 191407605}"
2025-12-25,002611,18.9,6.06,70,谨慎做多,【≥2.0】3.66 → 恐慌充分释放,【<-0.5】-3.39 → 资金流出,【15–25】18 → 结构健康（理想）,【0–2%】0.45% → 诱空假破位,"{'日期': '2025-11-28', '价格': 17.6, '动能值': -2.6323, 'obv': 6176110554}","{'日期': '2025-12-24', '价格': 17.52, '动能值': -0.7193, 'obv': 5959764139}"
2025-12-25,002633,16.88,0.72,60,谨慎做多,【≥2.0】2.77 → 恐慌充分释放,【<-0.5】-6.63 → 资金流出,【15–25】19 → 结构健康（理想）,【2–5%】2.86% → 正常破位,"{'日期': '2025-11-27', '价格': 17.15, '动能值': -1.1311, 'obv': 165715310}","{'日期': '2025-12-24', '价格': 16.66, '动能值': -0.4077, 'obv': 142538262}"
2025-12-25,002675,13.7,2.01,20,谨慎做多,【1.2–1.5】1.35 → 下跌开始衰竭,【<-0.5】-7.36 → 资金流出,【>25】69 → 结构偏老,【>5%】16.1% → 深度破位（风险）,"{'日期': '2025-09-10', '价格': 15.78, '动能值': -1.5803, 'obv': 214073219}","{'日期': '2025-12-24', '价格': 13.24, '动能值': -1.1747, 'obv': 152286566}"
2025-12-25,002724,6.86,1.63,50,谨慎做多,【1.5–2.0】1.8 → 下跌明显衰竭,【0.5–2.0】1.85 → 资金承接,【>25】28 → 结构偏老,【>5%】6.35% → 深度破位（风险）,"{'日期': '2025-11-14', '价格': 7.09, '动能值': -0.5476, 'obv': 829783782}","{'日期': '2025-12-24', '价格': 6.64, '动能值': -0.3048, 'obv': 844204909}"
